City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Necochea,AR,-38.5473,-58.7368,41.38,79,100,6.4,overcast clouds
79,Avarua,CK,-21.2078,-159.775,77.05,65,75,8.05,broken clouds
80,Moose Factory,CA,51.2585,-80.6094,66.2,94,75,6.91,broken clouds
81,Bladel,NL,51.3683,5.2208,70.74,79,13,2.3,few clouds
82,Sao Filipe,CV,14.8961,-24.4956,76.37,80,95,9.6,overcast clouds
83,Safidon,IN,29.4167,76.6667,89.53,57,3,4.94,clear sky
84,Upernavik,GL,72.7868,-56.1549,43.61,80,100,6.55,overcast clouds
85,Concarneau,FR,47.875,-3.9225,77.29,81,8,7.0,clear sky
86,Bentiu,SS,9.2333,29.8333,69.33,94,76,3.85,broken clouds
87,Atagay,RU,55.1033,99.3875,60.66,83,100,3.58,overcast clouds
88,Saint George,US,37.1041,-113.5841,103.62,19,0,14.97,clear sky
89,Severo-Kurilsk,RU,50.6789,156.125,56.91,86,100,10.49,overcast clouds
90,Mackenzie,CA,55.2999,-123.1698,70.02,52,100,5.75,overcast clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,91.62,68,1,1.01,clear sky
92,Mahebourg,MU,-20.4081,57.7,68.25,82,75,16.11,broken clouds
93,Itacare,BR,-14.2775,-38.9967,71.6,81,14,8.99,few clouds
94,Aranos,NA,-24.1333,19.1167,49.62,45,0,12.1,clear sky
95,Urcos,PE,-13.6861,-71.6228,57.09,80,100,4.97,overcast clouds
96,Castro,BR,-24.7911,-50.0119,57.33,99,100,0.54,overcast clouds
97,Flin Flon,CA,54.7682,-101.865,82.83,33,8,6.89,clear sky
98,Raudeberg,NO,61.9875,5.1352,54.27,84,78,7.7,broken clouds
99,Novikovo,RU,51.1537,37.8879,52.7,93,0,6.89,clear sky
100,Alexandria,EG,31.2156,29.9553,78.76,83,0,9.22,clear sky
101,Orlik,RU,52.5178,99.825,53.4,94,100,3.56,light rain
102,Lazi,UA,48.0667,24.2333,53.85,71,14,3.51,few clouds
103,Sinnamary,GF,5.3833,-52.95,79.03,84,100,8.46,overcast clouds
104,Haimen,CN,23.1935,116.6142,82.29,78,93,9.8,overcast clouds
105,Maposeni,TZ,-10.5833,35.4,61.12,80,100,3.38,overcast clouds
106,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,57,17.98,light rain
107,Grindavik,IS,63.8424,-22.4338,52.27,87,100,2.3,overcast clouds
108,Maumere,ID,-8.6199,122.2111,79.36,64,54,7.38,broken clouds
109,Broome,US,42.2506,-75.833,73.45,85,100,12.66,overcast clouds
110,Atuona,PF,-9.8,-139.0333,76.93,74,77,16.31,broken clouds
111,Kodiak,US,57.79,-152.4072,60.31,67,0,9.22,clear sky
112,Dhidhdhoo,MV,6.8833,73.1,82.22,79,100,16.91,overcast clouds
113,Mount Isa,AU,-20.7333,139.5,71.37,33,0,9.22,clear sky
114,Turukhansk,RU,65.8167,87.9833,60.13,60,93,13.58,overcast clouds
115,Dikson,RU,73.5069,80.5464,46.18,77,10,12.12,clear sky
116,Lazaro Cardenas,MX,17.9583,-102.2,82.2,77,100,4.16,overcast clouds
117,West Linton,GB,55.7497,-3.3561,68.16,59,100,5.14,overcast clouds
118,Wuda,CN,39.4994,106.7117,70.25,50,100,7.74,overcast clouds
119,Nyuksenitsa,RU,60.4128,44.2397,60.48,99,100,5.77,light rain
120,Ati,TD,13.2154,18.3353,82.58,61,90,9.4,overcast clouds
121,Sibu,MY,2.3,111.8167,79.11,88,20,1.14,few clouds
122,Coahuayana,MX,18.7333,-103.6833,82.35,77,100,1.74,overcast clouds
123,Aquiraz,BR,-3.9014,-38.3911,78.89,84,6,10.42,clear sky
124,Xiongzhou,CN,25.1167,114.3,86.7,72,92,4.9,overcast clouds
125,Americo Brasiliense,BR,-21.7244,-48.1017,67.41,59,93,5.17,overcast clouds
126,Sept-Iles,CA,50.2001,-66.3821,64.4,87,40,6.91,scattered clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,89,8.68,overcast clouds
128,Carnarvon,AU,-24.8667,113.6333,63.68,55,0,11.52,clear sky
129,San Quintin,MX,30.4833,-115.95,73.11,68,1,10.65,clear sky
130,Qaanaaq,GL,77.484,-69.3632,44.44,63,1,2.84,clear sky
131,Lavrentiya,RU,65.5833,-171.0,37.54,95,100,15.93,light rain
132,Khatanga,RU,71.9667,102.5,53.02,71,100,13.47,overcast clouds
133,Deer Lake,CA,49.1667,-57.4316,67.86,68,75,13.8,broken clouds
134,Ulundi,ZA,-28.3352,31.4162,56.12,65,0,5.1,clear sky
135,Yakeshi,CN,49.2833,120.7333,70.5,78,100,2.98,overcast clouds
136,Thompson,CA,55.7435,-97.8558,75.36,53,40,5.75,scattered clouds
137,Acaxochitlan,MX,20.1667,-98.2,57.51,95,100,1.66,overcast clouds
138,Hilo,US,19.7297,-155.09,86.29,75,100,9.22,overcast clouds
139,Nouadhibou,MR,20.931,-17.0347,73.38,78,77,9.22,broken clouds
140,Torbay,CA,47.6666,-52.7314,65.17,79,75,16.11,broken clouds
141,Cairns,AU,-16.9167,145.7667,77.11,63,9,14.97,clear sky
142,Warkworth,NZ,-36.4,174.6667,66.9,79,100,14.79,overcast clouds
143,Avera,US,33.194,-82.5271,84.54,60,100,8.86,overcast clouds
144,Chuy,UY,-33.6971,-53.4616,46.76,85,100,3.69,overcast clouds
145,Yuci,CN,37.6803,112.7319,71.35,73,100,2.24,overcast clouds
146,Inongo,CD,-1.95,18.2667,65.43,100,71,2.75,moderate rain
147,Soyo,AO,-6.1349,12.3689,69.78,90,4,5.3,clear sky
148,Baruun-Urt,MN,46.6806,113.2792,72.77,32,9,3.78,clear sky
149,Fortuna,US,40.5982,-124.1573,71.85,70,12,3.0,few clouds
150,Bathsheba,BB,13.2167,-59.5167,81.21,88,20,20.71,few clouds
151,Lebu,CL,-37.6167,-73.65,44.24,78,58,2.51,broken clouds
152,Touros,BR,-5.1989,-35.4608,75.38,88,100,12.35,moderate rain
153,Fairbanks,US,64.8378,-147.7164,62.02,69,75,13.8,broken clouds
154,Djibo,BF,14.1022,-1.6306,84.06,59,100,15.79,light rain
155,Eyl,SO,7.9803,49.8164,76.71,61,69,25.21,broken clouds
156,Dingle,PH,10.9995,122.6711,76.75,94,100,6.69,overcast clouds
157,Wajir,KE,1.7471,40.0573,71.91,68,69,14.9,broken clouds
158,Vilhena,BR,-12.7406,-60.1458,68.32,42,5,2.95,clear sky
159,Calabozo,VE,8.9242,-67.4293,75.25,92,63,5.17,broken clouds
160,Lugovoy,KZ,42.9472,72.7644,74.28,44,0,2.73,clear sky
161,Ellington,US,41.904,-72.4698,75.94,95,75,13.8,broken clouds
162,Emerald,AU,-23.5333,148.1667,65.34,45,0,13.29,clear sky
163,Thinadhoo,MV,0.5333,72.9333,83.55,71,100,12.39,heavy intensity rain
164,Porto Novo,BJ,6.4965,2.6036,76.82,84,100,5.5,overcast clouds
165,Dale,US,38.1689,-86.99,82.11,74,20,0.0,few clouds
166,Byron Bay,AU,-28.65,153.6167,51.94,74,87,9.66,light rain
167,Shwebo,MM,22.5667,95.7,84.16,68,99,12.64,overcast clouds
168,Trincomalee,LK,8.5711,81.2335,78.78,81,100,6.31,overcast clouds
169,Sambava,MG,-14.2667,50.1667,68.54,78,1,13.96,clear sky
170,Camabatela,AO,-8.1881,15.375,58.03,98,28,3.56,scattered clouds
171,Hami,CN,42.8,93.45,82.78,27,100,2.8,overcast clouds
172,Owando,CG,-0.4819,15.8999,71.71,92,100,1.92,light rain
173,Aklavik,CA,68.2191,-135.0107,58.89,91,100,6.29,moderate rain
174,Souillac,MU,-20.5167,57.5167,66.58,82,75,16.11,light rain
175,Nalut,LY,30.3333,10.85,79.63,29,0,13.91,clear sky
